ID   X      Y
1 [719.9, 733.11]
153 [707.21, 1609.39]
154 [732.6, 1609.39]
155 [758.01, 1609.39]
156 [783.4, 1609.39]
157 [834.2, 1609.39]
158 [808.81, 1609.39]
159 [707.21, 1685.61]
160 [732.6, 1685.61]
161 [681.8, 1685.61]
162 [681.8, 1736.41]
163 [707.21, 1736.41]
164 [732.6, 1736.41]
165 [758.01, 1736.41]
166 [783.4, 1736.41]
167 [808.81, 1736.41]
168 [834.2, 1736.41]
169 [834.2, 1812.6]
170 [808.81, 1812.6]
171 [783.4, 1812.6]
172 [758.01, 1812.6]
173 [732.6, 1812.6]
174 [707.21, 1812.6]
175 [681.8, 1787.21]
176 [656.41, 1787.21]
177 [681.8, 1812.6]
178 [681.8, 1838.01]
179 [656.41, 1838.01]
180 [656.41, 1863.4]
181 [681.8, 1863.4]
182 [707.21, 1838.01]
183 [707.21, 1863.4]
184 [732.6, 1863.4]
185 [758.01, 1838.01]
186 [783.4, 1838.01]
187 [834.2, 1863.4]
188 [808.81, 1863.4]
189 [783.4, 1863.4]
190 [758.01, 1863.4]
191 [707.21, 1939.61]
192 [681.8, 1939.61]
193 [656.41, 1939.61]
194 [681.8, 1965.0]
195 [707.21, 1965.0]
196 [732.6, 1939.61]
197 [732.6, 1965.0]
198 [758.01, 1939.61]
199 [758.01, 1965.0]
200 [783.4, 1939.61]
201 [783.4, 1965.0]
202 [681.8, 2041.19]
203 [681.8, 2066.6]
204 [707.21, 2066.6]
205 [707.21, 2041.19]
206 [732.6, 2041.19]
207 [758.01, 2041.19]
208 [783.4, 2041.19]
209 [808.81, 2041.19]
210 [834.2, 2041.19]
211 [885.0, 2066.6]
212 [910.39, 2066.6]
213 [808.81, 1965.0]
214 [808.81, 1939.61]
215 [834.2, 1965.0]
216 [834.2, 1939.61]
217 [935.8, 1863.4]
218 [935.8, 1812.6]
219 [935.8, 1787.21]
220 [961.19, 1863.4]
221 [986.6, 1863.4]
222 [935.8, 1939.61]
223 [961.19, 1939.61]
224 [986.6, 1939.61]
225 [1011.99, 1939.61]
226 [1037.4, 1939.61]
227 [1062.79, 1939.61]
228 [1088.2, 1939.61]
229 [1088.2, 1863.4]
230 [1062.79, 1863.4]
231 [1037.4, 1863.4]
232 [1011.99, 1863.4]
233 [961.19, 1812.6]
234 [961.19, 1787.21]
235 [986.6, 1812.6]
236 [1011.99, 1812.6]
237 [1037.4, 1812.6]
238 [1062.79, 1812.6]
239 [1088.2, 1812.6]
240 [1088.2, 1736.41]
241 [1062.79, 1736.41]
242 [1037.4, 1736.41]
243 [1011.99, 1736.41]
244 [1037.4, 1685.61]
245 [1062.79, 1685.61]
246 [1088.2, 1685.61]
247 [1011.99, 1609.39]
248 [1011.99, 1584.0]
249 [1037.4, 1609.39]
250 [1037.4, 1584.0]
251 [1062.79, 1609.39]
252 [1088.2, 1609.39]
253 [1062.79, 1584.0]
254 [1113.59, 1533.2]
255 [1062.79, 1533.2]
256 [1113.59, 1507.79]
257 [1113.59, 1482.4]
258 [1113.59, 1456.99]
259 [1113.59, 1431.6]
260 [1113.59, 1406.19]
261 [1113.59, 1380.8]
262 [1113.59, 1355.39]
263 [1062.79, 1304.61]
264 [1062.79, 1279.2]
265 [1037.4, 1304.61]
266 [935.8, 1279.2]
267 [935.8, 1253.81]
268 [935.8, 1228.4]
269 [935.8, 1203.01]
270 [935.8, 1177.6]
271 [935.8, 1152.21]
272 [935.8, 1126.8]
273 [935.8, 1101.41]
274 [986.6, 1101.41]
275 [986.6, 1126.8]
276 [986.6, 1152.21]
277 [986.6, 1177.6]
278 [986.6, 1203.01]
279 [986.6, 1228.4]
280 [986.6, 1253.81]
281 [986.6, 1279.2]
282 [986.6, 1355.39]
283 [986.6, 1380.8]
284 [986.6, 1406.19]
285 [986.6, 1431.6]
286 [986.6, 1456.99]
287 [986.6, 1482.4]
288 [986.6, 1507.79]
289 [986.6, 1533.2]
290 [1062.79, 1507.79]
291 [1062.79, 1482.4]
292 [1062.79, 1456.99]
293 [1062.79, 1431.6]
294 [1062.79, 1406.19]
295 [1062.79, 1380.8]
296 [1062.79, 1355.39]
297 [1113.59, 1279.2]
298 [1113.59, 1253.81]
299 [1113.59, 1228.4]
300 [1062.79, 1203.01]
301 [1062.79, 1228.4]
302 [1062.79, 1253.81]
303 [1113.59, 1203.01]
304 [1113.59, 1177.6]
305 [1113.59, 1152.21]
306 [1113.59, 1126.8]
307 [1062.79, 1101.41]
308 [1062.79, 1126.8]
309 [1062.79, 1177.6]
310 [1062.79, 1152.21]
311 [1113.59, 1101.41]
312 [1113.59, 999.8]
313 [1088.2, 999.8]
314 [1113.59, 974.39]
315 [1113.59, 949.0]
316 [1113.59, 923.59]
317 [1062.79, 974.39]
318 [1062.79, 949.0]
319 [986.6, 821.99]
320 [986.6, 847.4]
321 [986.6, 872.79]
322 [986.6, 898.2]
323 [986.6, 923.59]
324 [986.6, 949.0]
325 [986.6, 974.39]
326 [1062.79, 923.59]
327 [1062.79, 898.2]
328 [1062.79, 872.79]
329 [1062.79, 847.4]
330 [1062.79, 821.99]
331 [1113.59, 821.99]
332 [1113.59, 847.4]
333 [1113.59, 872.79]
334 [1113.59, 898.2]
335 [1189.8, 821.99]
336 [1189.8, 847.4]
337 [1189.8, 872.79]
338 [1189.8, 898.2]
339 [1189.8, 923.59]
340 [1189.8, 949.0]
341 [1189.8, 974.39]
342 [1240.61, 974.39]
343 [1240.61, 949.0]
344 [1240.61, 923.59]
345 [1240.61, 898.2]
346 [1240.61, 872.79]
347 [1240.61, 821.99]
348 [1240.61, 847.4]
349 [1316.8, 974.39]
350 [1316.8, 949.0]
351 [1316.8, 923.59]
352 [1316.8, 898.2]
353 [1316.8, 872.79]
354 [1316.8, 847.4]
355 [1316.8, 821.99]
356 [1367.6, 796.6]
357 [1354.9, 733.11]
358 [1354.9, 707.7]
359 [1393.01, 707.7]
360 [1393.01, 733.11]
361 [1443.81, 796.6]
362 [1494.61, 796.6]
363 [1431.09, 733.11]
364 [1431.09, 707.7]
365 [1469.2, 707.7]
366 [1469.2, 733.11]
367 [1507.3, 707.7]
368 [1507.3, 733.11]
369 [1545.39, 707.7]
370 [1545.39, 733.11]
371 [1583.5, 707.7]
372 [1583.5, 733.11]
373 [1570.8, 796.6]
374 [1596.19, 796.6]
375 [1672.4, 796.6]
376 [1723.2, 796.6]
377 [1634.3, 707.7]
378 [1634.3, 733.11]
379 [1672.4, 707.7]
380 [1672.4, 733.11]
381 [1710.51, 707.7]
382 [1710.51, 733.11]
383 [1748.59, 707.7]
384 [1748.59, 733.11]
385 [1799.39, 796.6]
386 [1850.2, 796.6]
387 [1786.7, 733.11]
388 [1786.7, 707.7]
389 [1824.8, 707.7]
390 [1824.8, 733.11]
391 [1862.89, 707.7]
392 [1862.89, 733.11]
393 [1913.69, 707.7]
394 [1913.69, 733.11]
395 [2129.61, 796.6]
396 [2104.2, 796.6]
397 [2078.81, 796.6]
398 [2053.4, 796.6]
399 [2028.01, 796.6]
400 [2002.6, 796.6]
401 [1977.21, 796.6]
402 [1951.8, 796.6]
403 [1926.41, 796.6]
404 [1901.0, 796.6]
405 [1951.8, 733.11]
406 [1951.8, 707.7]
407 [1989.9, 707.7]
408 [1989.9, 733.11]
409 [2028.01, 707.7]
410 [2028.01, 733.11]
411 [2066.09, 707.7]
412 [2066.09, 733.11]
413 [2104.2, 733.11]
414 [2104.2, 707.7]
415 [2142.3, 707.7]
416 [2142.3, 733.11]
417 [2180.39, 707.7]
418 [2180.39, 733.11]
419 [2231.19, 707.7]
420 [2231.19, 733.11]
421 [2256.6, 733.11]
422 [2256.6, 707.7]
423 [2307.4, 707.7]
424 [2307.4, 733.11]
425 [2409.0, 796.6]
426 [2434.39, 796.6]
427 [2409.0, 872.79]
428 [2434.39, 872.79]
429 [2409.0, 898.2]
430 [2434.39, 898.2]
431 [2459.8, 872.79]
432 [2485.2, 872.79]
433 [2459.8, 796.6]
434 [2485.2, 796.6]
435 [2510.61, 796.6]
436 [2536.0, 796.6]
437 [2561.41, 796.6]
438 [2586.8, 796.6]
439 [2612.21, 796.6]
440 [2637.6, 796.6]
441 [2637.6, 707.7]
442 [2637.6, 733.11]
443 [2688.4, 796.6]
444 [2713.81, 796.6]
445 [2790.0, 796.6]
446 [2764.61, 796.6]
447 [2739.2, 796.6]
448 [2688.4, 872.79]
449 [2637.6, 872.79]
450 [2612.21, 872.79]
451 [2586.8, 872.79]
452 [2561.41, 872.79]
453 [2536.0, 872.79]
454 [2510.61, 872.79]
455 [2612.21, 974.39]
456 [2586.8, 999.8]
457 [2561.41, 999.8]
458 [2561.41, 974.39]
459 [2586.8, 974.39]
460 [2612.21, 999.8]
461 [2637.6, 999.8]
462 [2612.21, 1025.2]
463 [2612.21, 1050.61]
464 [2637.6, 1076.0]
465 [2612.21, 1076.0]
466 [2637.6, 1050.61]
467 [2637.6, 1025.2]
468 [2688.4, 974.39]
469 [2688.4, 999.8]
470 [2688.4, 1025.2]
471 [2688.4, 1050.61]
472 [2688.4, 1076.0]
473 [2764.61, 999.8]
474 [2764.61, 1050.61]
475 [2790.0, 1050.61]
476 [2815.41, 1050.61]
477 [2764.61, 1126.8]
478 [2790.0, 1126.8]
479 [2916.99, 1177.6]
480 [2891.6, 1177.6]
481 [2866.19, 1177.6]
482 [2840.8, 1177.6]
483 [2815.41, 1177.6]
484 [2790.0, 1177.6]
485 [2764.61, 1152.21]
486 [2764.61, 1177.6]
487 [2790.0, 1152.21]
488 [2815.41, 1126.8]
489 [2840.8, 1126.8]
490 [2866.19, 1126.8]
491 [2891.6, 1126.8]
492 [2916.99, 1126.8]
493 [2993.2, 1050.61]
494 [2967.79, 1050.61]
495 [2916.99, 1050.61]
496 [2891.6, 1050.61]
497 [2866.19, 1050.61]
498 [2840.8, 1050.61]
499 [2916.99, 999.8]
500 [2916.99, 923.59]
501 [2764.61, 923.59]
502 [2713.81, 872.79]
503 [2739.2, 872.79]
504 [2764.61, 872.79]
505 [2790.0, 872.79]
506 [2815.41, 872.79]
507 [2840.8, 872.79]
508 [2866.19, 872.79]
509 [2891.6, 872.79]
510 [2916.99, 872.79]
511 [2967.79, 821.99]
512 [2942.4, 796.6]
513 [2942.4, 821.99]
514 [2916.99, 796.6]
515 [2891.6, 796.6]
516 [2866.19, 796.6]
517 [2840.8, 796.6]
518 [2815.41, 796.6]
519 [2891.6, 733.11]
520 [2891.6, 707.7]
521 [2967.79, 796.6]
522 [2993.2, 796.6]
523 [3018.59, 796.6]
524 [3044.0, 796.6]
525 [3069.39, 796.6]
526 [3094.8, 796.6]
527 [3120.2, 796.6]
528 [3145.61, 796.6]
529 [3069.39, 872.79]
530 [3044.0, 872.79]
531 [3018.59, 872.79]
532 [2993.2, 872.79]
533 [2993.2, 898.2]
534 [2993.2, 923.59]
535 [3018.59, 898.2]
536 [3018.59, 923.59]
537 [2993.2, 949.0]
538 [3018.59, 949.0]
539 [3069.39, 949.0]
540 [3069.39, 974.39]
541 [3094.8, 974.39]
542 [3069.39, 999.8]
543 [3094.8, 999.8]
544 [3145.61, 1050.61]
545 [3120.2, 1050.61]
546 [3094.8, 1050.61]
547 [3069.39, 1050.61]
548 [3044.0, 1050.61]
549 [3018.59, 1050.61]
550 [2967.79, 1126.8]
551 [2967.79, 1152.21]
552 [2993.2, 1126.8]
553 [3018.59, 1126.8]
554 [3044.0, 1126.8]
555 [3069.39, 1126.8]
556 [3094.8, 1126.8]
557 [3120.2, 1177.6]
558 [3094.8, 1177.6]
559 [3069.39, 1177.6]
560 [3044.0, 1177.6]
561 [3018.59, 1177.6]
562 [2993.2, 1152.21]
563 [2993.2, 1177.6]
564 [3069.39, 1253.81]
565 [3044.0, 1253.81]
566 [3018.59, 1253.81]
567 [2993.2, 1253.81]
568 [2993.2, 1304.61]
569 [3018.59, 1304.61]
570 [3044.0, 1304.61]
571 [3069.39, 1304.61]
572 [3094.8, 1253.81]
573 [3120.2, 1253.81]
574 [3145.61, 1253.81]
575 [3145.61, 1304.61]
576 [3120.2, 1304.61]
577 [3094.8, 1304.61]
578 [3145.61, 1431.6]
579 [3120.2, 1431.6]
580 [3094.8, 1431.6]
581 [3069.39, 1431.6]
582 [3044.0, 1431.6]
583 [3018.59, 1431.6]
584 [2993.2, 1431.6]
585 [2967.79, 1431.6]
586 [2993.2, 1380.8]
587 [3018.59, 1380.8]
588 [3044.0, 1380.8]
589 [3069.39, 1380.8]
590 [3094.8, 1380.8]
591 [3120.2, 1380.8]
592 [3145.61, 1380.8]
593 [3196.41, 1380.8]
594 [3221.8, 1355.39]
595 [3196.41, 1355.39]
596 [3221.8, 1380.8]
597 [3272.6, 1431.6]
598 [3298.01, 1431.6]
599 [3323.4, 1431.6]
600 [3272.6, 1380.8]
601 [3298.01, 1304.61]
602 [3272.6, 1304.61]
603 [3247.21, 1253.81]
604 [3145.61, 1177.6]
605 [3120.2, 1126.8]
606 [3145.61, 1126.8]
607 [3247.21, 1152.21]
608 [3247.21, 1177.6]
609 [3272.6, 1152.21]
610 [3272.6, 1177.6]
611 [3298.01, 1177.6]
612 [3323.4, 1177.6]
613 [3145.61, 999.8]
614 [3171.0, 999.8]
615 [3221.8, 999.8]
616 [3247.21, 999.8]
617 [3247.21, 949.0]
618 [3221.8, 949.0]
619 [3171.0, 923.59]
620 [3145.61, 923.59]
621 [3094.8, 949.0]
622 [3094.8, 923.59]
623 [3069.39, 898.2]
624 [3069.39, 923.59]
625 [3094.8, 898.2]
626 [3094.8, 872.79]
627 [3120.2, 872.79]
628 [3145.61, 872.79]
629 [3221.8, 898.2]
630 [3196.41, 796.6]
631 [3196.41, 821.99]
632 [3221.8, 796.6]
633 [3272.6, 847.4]
634 [3272.6, 821.99]
635 [3272.6, 872.79]
636 [3298.01, 872.79]
637 [3298.01, 847.4]
638 [3298.01, 821.99]
639 [3323.4, 707.7]
640 [3348.81, 707.7]
641 [3348.81, 733.11]
642 [3323.4, 733.11]
643 [3450.41, 872.79]
644 [3450.41, 898.2]
645 [3425.0, 872.79]
646 [3374.2, 872.79]
647 [3348.81, 872.79]
648 [3374.2, 898.2]
649 [3323.4, 923.59]
650 [3298.01, 923.59]
651 [3298.01, 949.0]
652 [3323.4, 949.0]
653 [3298.01, 974.39]
654 [3323.4, 974.39]
655 [3323.4, 999.8]
656 [3298.01, 999.8]
657 [3272.6, 1050.61]
658 [3272.6, 1101.41]
659 [3348.81, 1177.6]
660 [3374.2, 1177.6]
661 [3399.61, 1177.6]
662 [3425.0, 1177.6]
663 [3425.0, 1253.81]
664 [3399.61, 1253.81]
665 [3374.2, 1253.81]
666 [3348.81, 1253.81]
667 [3323.4, 1253.81]
668 [3298.01, 1253.81]
669 [3272.6, 1253.81]
670 [3323.4, 1304.61]
671 [3348.81, 1304.61]
672 [3374.2, 1304.61]
673 [3399.61, 1304.61]
674 [3425.0, 1304.61]
675 [3425.0, 1380.8]
676 [3399.61, 1380.8]
677 [3374.2, 1380.8]
678 [3348.81, 1380.8]
679 [3298.01, 1380.8]
680 [3323.4, 1380.8]
681 [3348.81, 1406.19]
682 [3374.2, 1406.19]
683 [3425.0, 1431.6]
684 [3399.61, 1431.6]
685 [3374.2, 1431.6]
686 [3348.81, 1431.6]
687 [3425.0, 1507.79]
688 [3399.61, 1507.79]
689 [3374.2, 1507.79]
690 [3348.81, 1507.79]
691 [3323.4, 1558.59]
692 [3298.01, 1558.59]
693 [3272.6, 1533.2]
694 [3272.6, 1558.59]
695 [3298.01, 1533.2]
696 [3272.6, 1507.79]
697 [3298.01, 1507.79]
698 [3323.4, 1507.79]
699 [3425.0, 1558.59]
700 [3399.61, 1558.59]
701 [3374.2, 1558.59]
702 [3348.81, 1558.59]
703 [3425.0, 1634.8]
704 [3399.61, 1634.8]
705 [3374.2, 1634.8]
706 [3348.81, 1634.8]
707 [3323.4, 1634.8]
708 [3298.01, 1634.8]
709 [3272.6, 1634.8]
710 [3272.6, 1685.61]
711 [3298.01, 1685.61]
712 [3323.4, 1685.61]
713 [3348.81, 1685.61]
714 [3374.2, 1685.61]
715 [3425.0, 1685.61]
716 [3399.61, 1685.61]
717 [3298.01, 1787.21]
718 [3323.4, 1812.6]
719 [3298.01, 1812.6]
720 [3272.6, 1812.6]
721 [3272.6, 1787.21]
722 [3272.6, 1761.8]
723 [3298.01, 1761.8]
724 [3323.4, 1761.8]
725 [3348.81, 1761.8]
726 [3374.2, 1761.8]
727 [3399.61, 1761.8]
728 [3425.0, 1761.8]
729 [3425.0, 1812.6]
730 [3399.61, 1812.6]
731 [3374.2, 1812.6]
732 [3348.81, 1812.6]
733 [3425.0, 1888.81]
734 [3399.61, 1888.81]
735 [3374.2, 1888.81]
736 [3348.81, 1888.81]
737 [3323.4, 1939.61]
738 [3298.01, 1939.61]
739 [3272.6, 1939.61]
740 [3272.6, 1888.81]
741 [3298.01, 1888.81]
742 [3323.4, 1888.81]
743 [3425.0, 1939.61]
744 [3399.61, 1939.61]
745 [3374.2, 1939.61]
746 [3348.81, 1939.61]
747 [3425.0, 2015.8]
748 [3399.61, 2015.8]
749 [3374.2, 2015.8]
750 [3348.81, 2015.8]
751 [3323.4, 2015.8]
752 [3298.01, 2041.19]
753 [3298.01, 2015.8]
754 [3272.6, 2041.19]
755 [3272.6, 2015.8]
756 [3221.8, 2066.6]
757 [3272.6, 2066.6]
758 [3298.01, 2066.6]
759 [3323.4, 2066.6]
760 [3348.81, 2066.6]
761 [3374.2, 2066.6]
762 [3425.0, 2066.6]
763 [3399.61, 2066.6]
764 [3399.61, 2142.79]
765 [3425.0, 2142.79]
766 [3374.2, 2142.79]
767 [3348.81, 2142.79]
768 [3348.81, 2168.2]
769 [3323.4, 2142.79]
770 [3298.01, 2142.79]
771 [3272.6, 2168.2]
772 [3196.41, 2244.39]
773 [3221.8, 2244.39]
774 [3247.21, 2244.39]
775 [3272.6, 2244.39]
776 [3298.01, 2244.39]
777 [3323.4, 2244.39]
778 [3348.81, 2244.39]
779 [3323.4, 2168.2]
780 [3298.01, 2168.2]
781 [3272.6, 2142.79]
782 [3247.21, 2168.2]
783 [3221.8, 2168.2]
784 [3196.41, 2168.2]
785 [3145.61, 2193.59]
786 [3120.2, 2193.59]
787 [3145.61, 2142.79]
788 [3120.2, 2142.79]
789 [3145.61, 2066.6]
790 [3196.41, 2066.6]
791 [3221.8, 2041.19]
792 [3196.41, 2041.19]
793 [3145.61, 2015.8]
794 [3120.2, 2015.8]
795 [3094.8, 2015.8]
796 [3120.2, 1939.61]
797 [3145.61, 1939.61]
798 [3145.61, 1888.81]
799 [3120.2, 1888.81]
800 [3145.61, 1761.8]
801 [3094.8, 1761.8]
802 [3120.2, 1761.8]
803 [3145.61, 1685.61]
804 [3120.2, 1685.61]
805 [3094.8, 1634.8]
806 [3120.2, 1634.8]
807 [3145.61, 1634.8]
808 [3145.61, 1507.79]
809 [3120.2, 1507.79]
810 [3069.39, 1507.79]
811 [3094.8, 1507.79]
812 [3145.61, 1558.59]
813 [3120.2, 1558.59]
814 [3094.8, 1558.59]
815 [3069.39, 1558.59]
816 [3044.0, 1558.59]
817 [2993.2, 1507.79]
818 [3018.59, 1507.79]
819 [3044.0, 1507.79]
820 [3018.59, 1558.59]
821 [2993.2, 1533.2]
822 [2993.2, 1558.59]
823 [3069.39, 1634.8]
824 [3044.0, 1634.8]
825 [3018.59, 1634.8]
826 [2993.2, 1634.8]
827 [2993.2, 1685.61]
828 [3018.59, 1685.61]
829 [3044.0, 1685.61]
830 [3069.39, 1685.61]
831 [3094.8, 1685.61]
832 [3069.39, 1761.8]
833 [3044.0, 1761.8]
834 [3018.59, 1761.8]
835 [2993.2, 1761.8]
836 [2993.2, 1787.21]
837 [3018.59, 1787.21]
838 [2993.2, 1812.6]
839 [3018.59, 1812.6]
840 [3044.0, 1812.6]
841 [3069.39, 1812.6]
842 [3094.8, 1812.6]
843 [3120.2, 1812.6]
844 [3145.61, 1812.6]
845 [3094.8, 1888.81]
846 [3069.39, 1888.81]
847 [3044.0, 1888.81]
848 [2993.2, 1888.81]
849 [3018.59, 1888.81]
850 [3094.8, 1939.61]
851 [3069.39, 1939.61]
852 [3044.0, 1939.61]
853 [3018.59, 1939.61]
854 [2993.2, 1939.61]
855 [3069.39, 2015.8]
856 [3044.0, 2015.8]
857 [3018.59, 2015.8]
858 [3018.59, 2041.19]
859 [2993.2, 2015.8]
860 [2993.2, 2041.19]
861 [2967.79, 2066.6]
862 [2993.2, 2066.6]
863 [3018.59, 2066.6]
864 [3044.0, 2066.6]
865 [3120.2, 2066.6]
866 [3094.8, 2066.6]
867 [3069.39, 2066.6]
868 [2993.2, 2142.79]
869 [2967.79, 2168.2]
870 [2993.2, 2168.2]
871 [3018.59, 2142.79]
872 [3044.0, 2142.79]
873 [3069.39, 2142.79]
874 [3094.8, 2142.79]
875 [3069.39, 2219.0]
876 [3044.0, 2219.0]
877 [3069.39, 2244.39]
878 [3044.0, 2244.39]
879 [3018.59, 2244.39]
880 [2993.2, 2244.39]
881 [3018.59, 2219.0]
882 [2993.2, 2219.0]
883 [2967.79, 2244.39]
884 [2942.4, 2219.0]
885 [2967.79, 2219.0]
886 [2942.4, 2244.39]
887 [2916.99, 2219.0]
888 [2891.6, 2244.39]
889 [2916.99, 2244.39]
890 [2891.6, 2219.0]
891 [2916.99, 2168.2]
892 [2967.79, 2142.79]
893 [2916.99, 2142.79]
894 [2891.6, 2142.79]
895 [2891.6, 2168.2]
896 [2866.19, 2168.2]
897 [2840.8, 2168.2]
898 [2815.41, 2168.2]
899 [2764.61, 2219.0]
900 [2764.61, 2244.39]
901 [2790.0, 2219.0]
902 [2764.61, 2168.2]
903 [2790.0, 2168.2]
904 [2764.61, 2142.79]
905 [2790.0, 2142.79]
906 [2815.41, 2142.79]
907 [2840.8, 2142.79]
908 [2866.19, 2142.79]
909 [2891.6, 2041.19]
910 [2916.99, 2066.6]
911 [2891.6, 2066.6]
912 [2866.19, 2066.6]
913 [2840.8, 2066.6]
914 [2815.41, 2066.6]
915 [2840.8, 2041.19]
916 [2815.41, 2041.19]
917 [2790.0, 2066.6]
918 [2764.61, 2066.6]
919 [2764.61, 2041.19]
920 [2790.0, 2041.19]
921 [2764.61, 2015.8]
922 [2790.0, 2015.8]
923 [2815.41, 2015.8]
924 [2840.8, 2015.8]
925 [2866.19, 2041.19]
926 [2866.19, 2015.8]
927 [2891.6, 2015.8]
928 [2916.99, 2041.19]
929 [2916.99, 2015.8]
930 [2916.99, 1939.61]
931 [2891.6, 1939.61]
932 [2866.19, 1939.61]
933 [2840.8, 1939.61]
934 [2815.41, 1939.61]
935 [2790.0, 1939.61]
936 [2764.61, 1939.61]
937 [2764.61, 1888.81]
938 [2790.0, 1888.81]
939 [2815.41, 1888.81]
940 [2840.8, 1888.81]
941 [2866.19, 1888.81]
942 [2891.6, 1888.81]
943 [2916.99, 1888.81]
944 [2916.99, 1812.6]
945 [2891.6, 1812.6]
946 [2866.19, 1787.21]
947 [2866.19, 1812.6]
948 [2840.8, 1812.6]
949 [2815.41, 1812.6]
950 [2790.0, 1812.6]
951 [2764.61, 1787.21]
952 [2764.61, 1812.6]
953 [2790.0, 1787.21]
954 [2764.61, 1761.8]
955 [2790.0, 1761.8]
956 [2815.41, 1761.8]
957 [2840.8, 1761.8]
958 [2866.19, 1761.8]
959 [2891.6, 1761.8]
960 [2916.99, 1761.8]
961 [2891.6, 1787.21]
962 [2840.8, 1685.61]
963 [2866.19, 1685.61]
964 [2891.6, 1685.61]
965 [2916.99, 1685.61]
966 [2916.99, 1634.8]
967 [2891.6, 1634.8]
968 [2866.19, 1634.8]
