[45.79301256742124, 50.91168824543143, 64.20280367709807, 14.7648230602334, 31.906112267087636, 34.92849839314596, 50.15974481593781, 52.201532544552755, 43.82921400162225, 38.8329756778952, 40.31128874149275, 26.1725046566048, 14.422205101855958, 29.017236257093817, 23.194827009486403, 48.010415536631214, 17.204650534085253, 20.39607805437114, 0.0, 62.93647591023826, 56.938563381947034, 52.69724850502159, 44.10215414239989, 39.319206502674994, 25.709920264364882, 56.753854494650845, 38.91015291668744, 61.773780845922005, 57.0087712549569, 47.12748667179271, 60.92618484691127, 41.400483088968905, 33.13608305156178, 52.0, 70.00714249274856, 75.07329751649384, 21.02379604162864, 38.8329756778952, 46.04345773288535, 10.63014581273465, 5.0, 8.54400374531753, 51.62363799656123, 17.11724276862369, 26.1725046566048, 32.202484376209235, 22.47220505424423, 43.68065933568311, 38.07886552931954, 49.24428900898052, 31.906112267087636]
[20.8806130178211, 12.041594578792296, 7.810249675906656, 48.91829923454004, 32.7566787083184, 37.64306044943742, 40.311288741492746, 26.305892875931807, 25.495097567963924, 37.48332962798263, 22.671568097509265, 36.76955262170048, 61.587336360651285, 47.75981574503821, 46.95742752749558, 17.720045146669353, 46.09772228646443, 47.169905660283014, 62.93647591023826, 0.0, 16.76305461424021, 15.03329637837291, 41.012193308819754, 49.36598018878994, 53.851648071345046, 31.622776601683796, 28.792360097775934, 16.64331697709324, 10.04987562112089, 31.016124838541643, 22.825424421026653, 22.47220505424423, 49.244289008980516, 25.317977802344327, 7.0710678118654755, 12.529964086141668, 43.82921400162225, 25.942243542145697, 43.046486500061775, 73.53910524340095, 62.36986451805071, 60.0, 52.3450093132096, 50.774009099144415, 51.26402247190518, 31.400636936215164, 41.23105625617661, 32.14031735997639, 31.32091952673165, 21.023796041628636, 32.449961479175904]
[26.925824035672523, 14.7648230602334, 24.16609194718914, 44.944410108488455, 25.059928172283335, 41.30375285612676, 49.65883607174055, 36.89173349139343, 13.453624047073712, 23.706539182259394, 20.024984394500787, 32.57299494980467, 59.48108943185221, 50.0, 36.76955262170048, 10.04987562112089, 39.824615503479755, 45.89117562233507, 56.938563381947034, 16.76305461424021, 0.0, 25.0, 48.38388161361178, 54.91812087098393, 55.14526271584895, 43.600458713183286, 32.55764119219941, 31.400636936215164, 7.211102550927979, 15.524174696260024, 36.796738985948195, 24.331050121192874, 35.77708763999664, 9.055385138137417, 21.0, 27.018512172212592, 36.05551275463989, 18.38477631085024, 27.16615541441225, 67.4166151627327, 57.697486947006624, 52.009614495783374, 61.09828148156051, 41.86884283091664, 39.408120990476064, 30.14962686336267, 38.3275357934736, 39.21734310225516, 19.79898987322333, 7.810249675906656, 32.0624390837628]
[7.0710678118654755, 10.63014581273465, 12.206555615733702, 38.01315561749643, 27.073972741361768, 23.259406699226012, 25.709920264364882, 12.08304597359457, 26.0, 37.107950630558946, 16.0, 27.313000567495326, 48.91829923454004, 33.54101966249685, 41.43669871020132, 18.867962264113206, 37.16180835212409, 34.655446902326915, 52.69724850502159, 15.03329637837291, 25.0, 0.0, 26.0, 34.36568055487917, 39.824615503479755, 18.60107523773827, 15.0, 10.04987562112089, 18.35755975068582, 34.0, 13.0, 11.704699910719626, 47.16990566028302, 30.610455730027933, 20.8806130178211, 24.186773244895647, 36.40054944640259, 22.20360331117452, 45.31004303683677, 63.00793600809345, 51.22499389946279, 51.478150704935, 37.65634076752546, 43.68065933568311, 47.095647357266465, 20.591260281974, 30.23243291566195, 17.11724276862369, 29.61418578992169, 24.413111231467404, 20.808652046684813]
[21.587033144922902, 33.95585369269929, 36.6742416417845, 31.256999216175565, 36.124783736376884, 11.180339887498949, 6.0827625302982185, 15.811388300841898, 43.266615305567875, 50.20956084253277, 30.528675044947498, 29.1547594742265, 33.83784863137726, 15.524174696260024, 45.617978911828175, 39.395431207184416, 35.73513677041127, 24.020824298928627, 44.10215414239989, 41.012193308819754, 48.38388161361178, 26.0, 0.0, 9.433981132056603, 21.02379604162864, 15.556349186104047, 16.64331697709324, 28.792360097775934, 42.95346318982905, 51.61395160225576, 24.186773244895647, 24.596747752497688, 55.7584074378026, 51.0, 46.389654018972806, 48.50773134253962, 38.48376280978771, 36.400549446402586, 60.108235708594876, 52.17278984298233, 40.44749683231337, 47.265209192385896, 13.038404810405298, 44.271887242357316, 52.32590180780451, 24.08318915758459, 26.570660511172843, 9.219544457292889, 43.18564576337837, 44.721359549995796, 22.022715545545243]
[29.0, 41.10960958218893, 45.60701700396552, 28.635642126552703, 38.8329756778952, 13.92838827718412, 14.212670403551897, 25.079872407968903, 47.92702786528703, 53.009433122794285, 35.73513677041127, 30.479501308256342, 27.16615541441225, 10.77032961426901, 45.60701700396552, 45.35416188179427, 34.66987164671943, 21.02379604162864, 39.319206502674994, 49.36598018878994, 54.91812087098393, 34.36568055487917, 9.433981132056603, 0.0, 14.0356688476182, 24.839484696748443, 22.360679774997894, 38.07886552931954, 50.15974481593781, 55.90169943749474, 33.61547262794322, 30.59411708155671, 56.63920903402518, 56.302753041036986, 55.10898293381941, 57.56735185849702, 38.41874542459709, 40.71854614300466, 63.00793600809345, 46.09772228646444, 35.05709628591621, 43.965895873961216, 12.36931687685298, 43.046486500061775, 52.20153254455275, 27.29468812791236, 26.248809496813372, 17.26267650163207, 46.6476151587624, 50.28916384272063, 25.059928172283335]
[33.1058907144937, 43.41658669218482, 51.97114584074512, 17.69180601295413, 33.95585369269929, 16.64331697709324, 26.925824035672523, 33.941125496954285, 45.27692569068709, 47.16990566028302, 35.12833614050059, 24.73863375370596, 13.152946437965904, 6.4031242374328485, 36.400549446402586, 45.09988913511873, 25.0, 11.180339887498949, 25.709920264364882, 53.851648071345046, 55.14526271584895, 39.824615503479755, 21.02379604162864, 14.0356688476182, 0.0, 36.05551275463989, 25.079872407968903, 46.22769732530488, 51.97114584074514, 52.17278984298233, 43.139309220245984, 32.01562118716424, 48.010415536631214, 54.230987451824994, 60.415229867972855, 64.00781202322105, 29.68164415931166, 38.118237105091836, 56.85947590331799, 32.0624390837628, 21.213203435596427, 31.304951684997057, 26.076809620810597, 32.526911934581186, 42.5205832509386, 25.01999200639361, 18.973665961010276, 24.758836806279895, 42.20189569201839, 49.01020301937138, 23.086792761230395]
[18.867962264113206, 29.068883707497267, 25.317977802344327, 42.57933771208753, 40.162171256046406, 21.840329667841555, 11.180339887498949, 7.211102550927979, 43.01162633521314, 52.773099207835045, 30.886890422961002, 36.22154055254967, 48.30113870293329, 30.016662039607265, 52.77309920783504, 36.796738985948195, 45.0, 36.40054944640259, 56.753854494650845, 31.622776601683796, 43.600458713183286, 18.60107523773827, 15.556349186104047, 24.839484696748443, 36.05551275463989, 0.0, 20.223748416156685, 16.0312195418814, 36.89173349139343, 51.40038910358559, 10.04987562112089, 24.596747752497688, 61.032778078668514, 48.79549159502341, 35.35533905932738, 36.013886210738214, 46.270941205037104, 37.589892258425, 61.91122676865643, 65.78753681359412, 53.75872022286245, 58.309518948453, 22.360679774997894, 53.084837759947995, 59.22837157984338, 29.427877939124325, 36.05551275463989, 13.152946437965904, 45.17742799230607, 42.44997055358225, 28.160255680657446]
[8.06225774829855, 19.026297590440446, 27.202941017470888, 24.16609194718914, 20.591260281974, 9.055385138137417, 19.849433241279208, 14.0356688476182, 26.627053911388693, 34.20526275297414, 13.892443989449806, 16.0312195418814, 33.97057550292606, 18.973665961010276, 32.55764119219941, 23.08679276123039, 25.179356624028344, 19.849433241279208, 38.91015291668744, 28.792360097775934, 32.55764119219941, 15.0, 16.64331697709324, 22.360679774997894, 25.079872407968903, 20.223748416156685, 0.0, 23.021728866442675, 28.0, 35.0, 22.135943621178658, 8.246211251235321, 41.2310562561766, 34.43835071544513, 35.34119409414458, 39.11521443121589, 26.076809620810597, 19.849433241279208, 43.9317652729776, 48.877397639399746, 36.89173349139343, 39.05124837953328, 29.68164415931166, 33.0, 39.05124837953328, 9.219544457292889, 16.76305461424021, 8.602325267042627, 26.907248094147423, 28.23118842698621, 8.0]
[16.155494421403514, 18.973665961010276, 9.486832980505138, 47.01063709417263, 37.12142238654117, 29.73213749463701, 26.305892875931807, 13.0, 35.17101079013795, 46.69047011971501, 26.019223662515373, 37.0, 56.63920903402518, 39.82461550347975, 51.478150704935004, 27.51363298439521, 46.8187996428785, 42.80186911806539, 61.773780845922005, 16.64331697709324, 31.400636936215164, 10.04987562112089, 28.792360097775934, 38.07886552931954, 46.22769732530488, 16.0312195418814, 23.021728866442675, 0.0, 24.207436873820413, 42.720018726587654, 6.324555320336759, 21.587033144922902, 57.07889277132134, 38.47076812334269, 19.4164878389476, 20.09975124224178, 46.32493928760188, 32.0624390837628, 54.405882034941776, 71.86793443532379, 59.90826320300064, 61.09828148156051, 38.118237105091836, 53.600373133029585, 57.14017850864661, 30.083217912982644, 39.35733730830886, 21.633307652783937, 39.319206502674994, 32.69556544854363, 29.966648127543394]
[21.377558326431952, 9.055385138137417, 17.08800749063506, 43.9089968002003, 25.455844122715714, 37.0135110466435, 43.65775990588614, 30.413812651491096, 16.155494421403514, 27.892651361962706, 17.46424919657298, 31.38470965295043, 57.77542730261717, 46.389654018972806, 38.8329756778952, 9.219544457292887, 39.82461550347975, 43.65775990588614, 57.0087712549569, 10.04987562112089, 7.211102550927979, 18.35755975068582, 42.95346318982905, 50.15974481593781, 51.97114584074514, 36.89173349139343, 28.0, 24.207436873820413, 0.0, 21.0, 29.698484809834998, 20.09975124224178, 39.84971769034255, 15.297058540778355, 15.524174696260024, 21.587033144922902, 36.76955262170048, 18.38477631085024, 33.015148038438355, 67.62396025078685, 57.140178508646606, 53.03772242470447, 55.36244214266564, 43.278170016764804, 42.48529157249601, 27.51363298439521, 36.6742416417845, 33.734255586866006, 22.360679774997898, 11.180339887498947, 29.120439557122076]
